instance,num_var,ground_energy,sbm_energy,gap,sbm_runtime
3R3X_Ising_Float64_1_v=1.0.h5,70000,-140000.0,-120344.0,14.04,44.202015906
3R3X_Ising_Float64_2_v=1.0.h5,70000,-140000.0,-120300.0,14.071428571428571,44.204877853
3R3X_Ising_Float64_3_v=1.0.h5,70000,-140000.0,-120288.0,14.08,44.199032642
3R3X_Ising_Float64_4_v=1.0.h5,70000,-140000.0,-120366.0,14.024285714285714,44.700850777
3R3X_Ising_Float64_5_v=1.0.h5,70000,-140000.0,-120406.0,13.995714285714286,44.221145649
3R3X_Ising_Float64_6_v=1.0.h5,70000,-140000.0,-120272.0,14.09142857142857,44.1870414
3R3X_Ising_Float64_7_v=1.0.h5,70000,-140000.0,-120304.0,14.068571428571428,44.211865462
3R3X_Ising_Float64_8_v=1.0.h5,70000,-140000.0,-120216.0,14.131428571428572,44.27794087
3R3X_Ising_Float64_9_v=1.0.h5,70000,-140000.0,-120256.0,14.102857142857141,44.294841339
3R3X_Ising_Float64_10_v=1.0.h5,70000,-140000.0,-120360.0,14.028571428571428,44.294269352
3R3X_Ising_Float64_1_v=1.0.h5,80000,-160000.0,-137396.0,14.127500000000001,57.628192479
3R3X_Ising_Float64_2_v=1.0.h5,80000,-160000.0,-137416.0,14.115,57.448695331
3R3X_Ising_Float64_3_v=1.0.h5,80000,-160000.0,-137354.0,14.15375,57.426517224
3R3X_Ising_Float64_4_v=1.0.h5,80000,-160000.0,-137436.0,14.102500000000001,57.459844962
3R3X_Ising_Float64_5_v=1.0.h5,80000,-160000.0,-137384.0,14.135,57.381949423
3R3X_Ising_Float64_6_v=1.0.h5,80000,-160000.0,-137520.0,14.05,57.454624993
3R3X_Ising_Float64_7_v=1.0.h5,80000,-160000.0,-137520.0,14.05,58.037160577
3R3X_Ising_Float64_8_v=1.0.h5,80000,-160000.0,-137490.0,14.06875,57.875359199
3R3X_Ising_Float64_9_v=1.0.h5,80000,-160000.0,-137370.0,14.143749999999999,57.443383768
3R3X_Ising_Float64_10_v=1.0.h5,80000,-160000.0,-137464.0,14.085,57.886378582
3R3X_Ising_Float64_1_v=1.0.h5,90000,-180000.0,-154780.0,14.011111111111111,71.441088405
3R3X_Ising_Float64_2_v=1.0.h5,90000,-180000.0,-154634.0,14.092222222222222,71.573478033
3R3X_Ising_Float64_3_v=1.0.h5,90000,-180000.0,-154526.0,14.152222222222221,72.0764678
3R3X_Ising_Float64_4_v=1.0.h5,90000,-180000.0,-154744.0,14.03111111111111,71.725593821
3R3X_Ising_Float64_5_v=1.0.h5,90000,-180000.0,-154714.0,14.047777777777778,72.033504078
3R3X_Ising_Float64_6_v=1.0.h5,90000,-180000.0,-154636.0,14.09111111111111,71.744802963
3R3X_Ising_Float64_7_v=1.0.h5,90000,-180000.0,-154654.0,14.081111111111111,71.899723271
3R3X_Ising_Float64_8_v=1.0.h5,90000,-180000.0,-154626.0,14.096666666666666,71.52244478
3R3X_Ising_Float64_9_v=1.0.h5,90000,-180000.0,-154532.0,14.148888888888889,72.092746287
3R3X_Ising_Float64_10_v=1.0.h5,90000,-180000.0,-154610.0,14.105555555555554,71.517330538
3R3X_Ising_Float64_1_v=1.0.h5,100000,-200000.0,-171746.0,14.127,88.787665405
3R3X_Ising_Float64_2_v=1.0.h5,100000,-200000.0,-171700.0,14.149999999999999,89.010708399
3R3X_Ising_Float64_3_v=1.0.h5,100000,-200000.0,-171712.0,14.144000000000002,89.23207383
3R3X_Ising_Float64_4_v=1.0.h5,100000,-200000.0,-171792.0,14.104,87.606245947
3R3X_Ising_Float64_5_v=1.0.h5,100000,-200000.0,-171742.0,14.129,89.352314642
3R3X_Ising_Float64_6_v=1.0.h5,100000,-200000.0,-171630.0,14.185,87.972866185
3R3X_Ising_Float64_7_v=1.0.h5,100000,-200000.0,-171748.0,14.126,89.46880922
3R3X_Ising_Float64_8_v=1.0.h5,100000,-200000.0,-171908.0,14.046,89.66089844
